species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Gnaphalium luteo-album L.,Gnaphalium luteoalbum L.,Synonym,Pseudognaphalium luteoalbum,(L.) Hilliard & B.L.Burtt,Asteraceae,Pseudognaphalium,Species,909623-1,manual_alias
Gnaphalium supinum L.,Gnaphalium supinum L.,Synonym,Omalotheca supina,(L.) DC.,Asteraceae,Omalotheca,Species,235192-1,name_multi_author_ok
Goldbachia laevigata (M. Bieb.) DC.,Goldbachia laevigata DC.,Accepted,Goldbachia laevigata,DC.,Brassicaceae,Goldbachia,Species,284506-1,exact_name_unique
Goldbachia pendula Botsch.,Goldbachia pendula Botsch.,Accepted,Goldbachia pendula,Botsch.,Brassicaceae,Goldbachia,Species,284510-1,exact_full
Goldbachia sabulosa (Kar. & Kir.) D.A. German & Al-Shehbaz,Goldbachia sabulosa (Kar. & Kir.) D.A.German & Al-Shehbaz,Accepted,Goldbachia sabulosa,(Kar. & Kir.) D.A.German & Al-Shehbaz,Brassicaceae,Goldbachia,Species,77109893-1,exact_full
Goldbachia tetragona Ledeb.,Goldbachia tetragona Ledeb.,Accepted,Goldbachia tetragona,Ledeb.,Brassicaceae,Goldbachia,Species,284512-1,exact_full
Goldbachia torulosa DC.,Goldbachia torulosa DC.,Accepted,Goldbachia torulosa,DC.,Brassicaceae,Goldbachia,Species,284513-1,exact_full
Goldbachia verrucosa Kom.,Goldbachia verrucosa Kom.,Accepted,Goldbachia verrucosa,Kom.,Brassicaceae,Goldbachia,Species,284514-1,exact_full
Gomphocarpus fruticosus (L.) W.T. Aiton,Gomphocarpus fruticosus (L.) W.T.Aiton,Accepted,Gomphocarpus fruticosus,(L.) W.T.Aiton,Apocynaceae,Gomphocarpus,Species,97610-1,exact_full
Goniolimon sewerzowii Herder,Goniolimon sewerzowii Herder,Accepted,Goniolimon sewerzowii,Herder,Plumbaginaceae,Goniolimon,Species,686597-1,exact_full
Gratiola officinalis L.,Gratiola officinalis L.,Accepted,Gratiola officinalis,L.,Plantaginaceae,Gratiola,Species,803505-1,exact_full
Gymnospermium albertii (Regel) Takht.,Gymnospermium alberti (Regel) Takht.,Accepted,Gymnospermium alberti,(Regel) Takht.,Berberidaceae,Gymnospermium,Species,107330-1,canon_exact
Gynandriris sisyrinchium (L.) Parl.,Gynandriris sisyrinchium (L.) Parl.,Synonym,Moraea sisyrinchium,(L.) Ker Gawl.,Iridaceae,Moraea,Species,440274-1,exact_full
Gypsophila alsinoides Bunge,Gypsophila alsinoides Bunge,Synonym,Gypsophiloides alsinoides,(Bunge) Mahdavi & Assadi,Caryophyllaceae,Gypsophiloides,Species,77330607-1,exact_full
Gypsophila capituliflora Rupr.,Gypsophila capituliflora Rupr.,Accepted,Gypsophila capituliflora,Rupr.,Caryophyllaceae,Gypsophila,Species,154414-1,exact_full
Gypsophila cephalotes (Schrenk) Kom.,Gypsophila cephalotes (Schrenk ex Fisch. & C.A.Mey.) Korsh.,Synonym,Gypsophila saligna,Schrad.,Caryophyllaceae,Gypsophila,Species,154614-1,exact_name_unique
Gypsophila diffusa Fisch. & C.A.Mey. ex Rupr.,Gypsophila diffusa Fisch. & C.A.Mey. ex Rupr.,Accepted,Gypsophila diffusa,Fisch. & C.A.Mey. ex Rupr.,Caryophyllaceae,Gypsophila,Species,154443-1,exact_full
Gypsophila floribunda (Kar. & Kir.) Turcz. ex Fenzl,Gypsophila floribunda (Kar. & Kir.) Turcz. ex Fenzl,Accepted,Gypsophila floribunda,(Kar. & Kir.) Turcz. ex Fenzl,Caryophyllaceae,Gypsophila,Species,154469-1,exact_full
Gypsophila herniarioides Boiss.,Gypsophila herniarioides Boiss.,Synonym,Acanthophyllum herniarioides,(Boiss.) Madhani & Zarre,Caryophyllaceae,Acanthophyllum,Species,77178367-1,exact_full
Gypsophila heteropoda Freyn,Gypsophila heteropoda Freyn,Accepted,Gypsophila heteropoda,Freyn,Caryophyllaceae,Gypsophila,Species,154492-1,exact_full
Gypsophila paniculata L.,Gypsophila paniculata L.,Accepted,Gypsophila paniculata,L.,Caryophyllaceae,Gypsophila,Species,154563-1,exact_full
