lotincha_nom,qoraqalpoqcha_nom,manba
Melo sativus Sager. et M. Roem.,иттуйнек,Ережепов 1978
Melo zard,сары гулабы,Шербаев 1988
Mirabilis jalapa L.,намазшамгул,Шербаев 1988
Morus alba L.,ак тут,Шербаев 1988
Morus nigra L.,каратут,Шербаев 1988
Najas marina L.,шаланг,Ережепов 1978
Nanophyton erinaceum (Pall.) Bunge,тасбшоргун,Шербаев 1988
Nanophyton sibirica (Pall.) Bunge,тасбиургун,Ережепов 1978
Nuphar lutea (L.) Smith,сары тунгыйык,Шербаев 1988
Nymphaea candida J. et C.Presl,ак тунгыйык,Шербаев 1988
Ocimum basilicum L.,назбаигул,Шербаев 1988
Orobanche aegyptiaca Pers.,каунгул,Ережепов 1978
Oryza sativa L.,салы,Шербаев 1988
Panicum miliaceum L.,тары,Шербаев 1988
Papaver pavoninum Schrenk,"жабайыкокнаркызгалдак, жабайы кокнар",Ережепов 1978 + Шербаев 1988
Papaver somniferum L.,кокнар,Шербаев 1988
Peganum harmala L.,адраспан,Ережепов 1978 + Шербаев 1988
Petrosimonia sibirica (Pall.) Bunge,торгайот,Ережепов 1978
Phaseolus aureus Roxb.,маш,Шербаев 1988
Phaseolus vulgaris L.,лобия,Шербаев 1988
Phragmites australis (Cav.) Trin. ex Steud.,"камыс, кадимги камыс",Ережепов 1978 + Шербаев 1988
Phragmites isiacus (Delile) Kunth.,наркамыс,Ережепов 1978 + Шербаев 1988
Plantago lachnantha Bunge,аткулак,Ережепов 1978
Plantago lagocephala Bunge,аткулак,Ережепов 1978
Plantago lanceolata L.,аткулак,Ережепов 1978
Plantago major L.,аткулак,Ережепов 1978
Plantago minuta Pall.,аткулак,Ережепов 1978
Poa bulbosa L.,"конгырбас, конырбас",Ережепов 1978 + Шербаев 1988
Polygonum amphibium L.,"тамырдари, дари тамыр",Ережепов 1978 + Шербаев 1988
Polygonum aviculare L.,"кзылтары, кызылтары",Ережепов 1978 + Шербаев 1988
Polygonum corrigioloides Jaub. et Spach.,кзылтары,Ережепов 1978
Polygonum hydropiper L.,суу бурышы,Шербаев 1988
Polygonum scabrum Moench,кзылтары,Ережепов 1978
Populus alba L.,ак терек,Шербаев 1988
Populus ariana Dode,торангыл,Ережепов 1978 + Шербаев 1988
Populus bachofenii Wierzb. ex Rochel,кок терек,Шербаев 1988
Populus diversifolia Schrenk,торангыл,Ережепов 1978 + Шербаев 1988
Populus nigra L.,каратерек,Шербаев 1988
Populus pruinosa Schrenk,торангыл,Ережепов 1978 + Шербаев 1988
Portulaca oleracea L.,"семизшоп, семиз шоп",Ережепов 1978 + Шербаев 1988
Potamogeton crispus L.,шаланг,Ережепов 1978
Potamogeton filaformis Pers.,шаланг,Ережепов 1978
Potamogeton lucens L.,шаланг,Ережепов 1978
Potamogeton nodosus Poir.,шаланг,Ережепов 1978
